ATIVO;DESC ATIVO;COMPONENTE;PROJETO;MDO;CODIGO;DESC CODIGO;FATOR I;FATOR R;FILTRO
DT9/150;POSTE CONCRETO DUPLO T 9X 150;9150;RONDONIA;MAO-DE-OBRA;1015;Poste Limpo (sem mat. ou equip.) 12 >=P<= 600;1.0;1.0;
;POSTE CONCRETO DUPLO T 9X 150;9150;RONDONIA;MATERIAL;22758;POSTE CONCRETO DUPLO T 9X 150;1.0;1.0;
DT9/200;POSTE CONCRETO DUPLO T 9X 200;9200;RONDONIA;MAO-DE-OBRA;1015;Poste Limpo (sem mat. ou equip.) 12 >=P<= 600;1.0;1.0;
;POSTE CONCRETO DUPLO T 9X 200;9200;RONDONIA;MATERIAL;8686;POSTE CONCRETO DUPLO T 9X 200;1.0;1.0;
DT9/400;POSTE CONCRETO DUPLO T 9X 400;9400;RONDONIA;MAO-DE-OBRA;1015;Poste Limpo (sem mat. ou equip.) 12 >=P<= 600;1.0;1.0;
;POSTE CONCRETO DUPLO T 9X 400;9400;RONDONIA;MATERIAL;8688;POSTE CONCRETO DUPLO T 9X 400;1.0;1.0;
DT9/600;POSTE CONCRETO DUPLO T 9/600;9600;RONDONIA;MAO-DE-OBRA;1015;POSTE CONCRETO DUPLO T 9/600;1.0;1.0;
;POSTE CONCRETO DUPLO T 9/600;9600;RONDONIA;MATERIAL;90663;POSTE CONCRETO DUPLO T 9/600;1.0;1.0;
DT9/800;DT 9/800 F.P.;9800;RONDONIA;MAO-DE-OBRA;1016;POSTE DUPLO T CONCR 9M 800DAN 310X410MM 130X168MM;1.0;1.0;
;DT 9/800 F.P.;9800;RONDONIA;MATERIAL;628029;POSTE DUPLO T CONCR 9M 800DAN 310X410MM 130X168MM;1.0;1.0;
DT10/150;DT 10/150;10150;RONDONIA;MAO-DE-OBRA;1015;DT 10/150;1.0;1.0;
;DT 10/150;10150;RONDONIA;MATERIAL;90193;POSTE DISTR CONCR DT 10M 150DAN 200X280MM 100X120MM CL2;1.0;1.0;
DT11/200;POSTE DT 11/200 A RETIRAR;11200;RONDONIA;MAO-DE-OBRA;1015;Poste Limpo (sem mat. ou equip.) 12 >=P<= 600;1.0;1.0;
;POSTE DT 11/200 A RETIRAR;11200;RONDONIA;MATERIAL;8697;POSTE DE CONCRETO DT 11/200;1.0;1.0;
DT11/300;POSTE DUPLO T 11/300;11300;RONDONIA;MAO-DE-OBRA;1015;Poste Limpo (sem mat. ou equip.) 12 >=P<= 600;1.0;1.0;
;POSTE DUPLO T 11/300;11300;RONDONIA;MATERIAL;90198;POSTE DISTR CONCR DT 11M 300DAN 330X448MM 110X140MM CL2;1.0;1.0;
DT11/400;POSTE DUPLO T 11/400;11400;RONDONIA;MAO-DE-OBRA;1015;Poste Limpo (sem mat. ou equip.) 12 >=P<= 600;1.0;1.0;
;POSTE DUPLO T 11/400;11400;RONDONIA;MATERIAL;8687;POSTE CONCRETO DUPLO T 11X 400;1.0;1.0;
DT11/600;POSTE DUPLO T 11/600;11600;RONDONIA;MAO-DE-OBRA;1015;Poste Limpo (sem mat. ou equip.) 12 >=P<= 600;1.0;1.0;
;POSTE DUPLO T 11/600;11600;RONDONIA;MATERIAL;90199;POSTE DISTR CONCR DT 11M 600DAN 330X448MM 110X140MM CL2;1.0;1.0;
DT11/800;POSTE DE CONCRETO DT 11/800;11800;RONDONIA;MAO-DE-OBRA;1016;POSTE DE CONCRETO DT 11/800;1.0;1.0;
;POSTE DE CONCRETO DT 11/800;11800;RONDONIA;MATERIAL;22087;POSTE DE CONCRETO DT 11/800;1.0;1.0;
